true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,989,1,3,1,0,0,0,0,6,0
automobile,0,991,0,0,0,0,0,0,0,9
bird,3,0,986,3,3,0,2,2,1,0
cat,1,1,0,967,2,24,3,1,1,0
deer,0,0,3,6,985,1,0,5,0,0
dog,0,0,0,25,7,965,1,2,0,0
frog,1,0,3,2,0,0,994,0,0,0
horse,0,0,0,1,3,6,0,989,0,1
ship,3,0,0,0,0,0,0,0,996,1
truck,0,22,0,0,0,0,1,0,2,975
