true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,915,6,15,11,3,0,4,11,20,15
automobile,8,944,3,4,0,1,1,2,4,33
bird,20,2,861,30,28,20,22,12,1,4
cat,10,4,29,761,31,99,29,20,8,9
deer,1,0,29,30,877,13,19,26,4,1
dog,6,3,13,96,23,824,13,18,2,2
frog,5,1,22,14,16,4,934,2,0,2
horse,7,1,8,18,18,22,5,917,0,4
ship,27,10,3,5,1,0,2,2,934,16
truck,10,34,3,5,2,1,5,3,11,926
