true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,800,23,38,16,5,3,16,7,53,39
automobile,18,900,0,6,1,1,3,2,10,59
bird,45,4,736,46,55,25,51,21,9,8
cat,9,7,45,664,42,114,59,32,12,16
deer,9,1,63,36,759,22,49,56,3,2
dog,6,5,30,132,33,734,18,35,2,5
frog,7,5,21,33,19,14,894,5,1,1
horse,16,0,20,31,41,37,7,836,7,5
ship,51,24,6,10,2,3,3,5,872,24
truck,21,49,1,10,4,2,4,9,18,882
