true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,918,4,20,10,4,0,2,2,28,12
automobile,5,959,1,4,1,1,0,1,6,22
bird,19,0,887,31,23,18,16,4,1,1
cat,12,0,25,806,24,93,25,9,4,2
deer,2,1,25,22,899,12,15,21,2,1
dog,4,0,18,82,15,858,6,14,0,3
frog,6,0,16,16,7,6,947,1,1,0
horse,2,1,9,16,11,18,2,937,2,2
ship,23,9,3,1,1,0,1,0,958,4
truck,12,40,3,5,1,0,1,3,9,926
