true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,988,1,5,0,0,0,0,0,5,1
automobile,0,987,0,0,0,0,0,0,1,12
bird,2,0,989,3,1,2,1,1,1,0
cat,0,1,0,963,3,24,5,2,2,0
deer,0,0,3,2,991,1,0,3,0,0
dog,0,0,1,21,4,971,0,2,0,1
frog,1,0,2,2,0,1,994,0,0,0
horse,1,0,0,1,5,3,1,989,0,0
ship,1,0,0,0,0,0,0,0,999,0
truck,0,13,0,0,0,0,0,0,3,984
