true_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,888,11,13,10,9,4,7,6,29,23
automobile,11,934,0,2,0,1,3,1,6,42
bird,33,1,836,27,32,23,30,15,0,3
cat,13,3,21,743,33,117,38,15,8,9
deer,5,1,30,20,853,10,33,43,4,1
dog,4,3,8,90,19,829,9,31,3,4
frog,5,3,10,23,9,9,936,3,1,1
horse,8,0,14,10,19,19,3,919,5,3
ship,26,16,4,4,1,1,4,0,928,16
truck,13,37,4,3,1,1,2,4,10,925
